Name;City;Region;Previous edition;Previous date;Previous year;Current status;Expected date;Expected year;Postponed;Cancelled editions;Website;Social media;Online
Manga & Entertainment Expo;Berlin;Berlin;2019;25.10 – 27.10;2019;Announced;22.10 – 24.10;2021;–;2020;https://mex-berlin.de/;–;No
MEX Light;Berlin;Berlin;2020;19.09 – 20.09;2020;Announced;26.06 – 27.06;2021;–;–;https://mex-berlin.de/mex-light/;–;No
BiMaCo;Bitterfeld-Wolfen;Sachsen-Anhalt;2019;16.11;2019;Canceled;24.07;2021;Yes (2021: 30.01 → 24.07 → cancelled);2021;https://bimaco.de/;–;No
NipponCon;Bremen;Bremen;2019;16.08 – 18.08;2019;Announced;19.08 – 21.08;2022;–;2020, 2021;https://www.nipponcon.de/;–;No
Chizuru;Dortmund;Nordrhein-Westfalen;;6.03;2020;Not announced;none;none;–;–;https://www.chizuru-dortmund.de/;–;Yes
DeDeCo;Dresden;Sachsen;2020;21.02 – 23.02;2020;Canceled;19.02 – 21.02;2021;–;2021;https://www.dedeco-online.de;–;No
Dokomi;Düsseldorf;Nordrhein-Westfalen;2020;26.09 – 27.09;2020;Announced;7.08 – 8.08;2022;Yes (2020: 23.05 – 24.05 → 12.09 – 13.09 → 26.09 – 27.09;–;https://www.dokomi.de/;–;Yes
CosDay²;Frankfurt am Main;Hessen;2018;21.07;2018;Canceled;17.07 – 18.07;2021;–;2019, 2020, 2021;https://cosday.org/;–;No
Animuc;Fürstenfeldbruck;Bayern;2019;26.04 – 28.04;2019;Canceled;9.04 – 11.04;2021;–;2020, 2021;http://animuc.de;–;Yes
NiCon;Hannover;Niedersachsen;2019;4.10 – 6.10;2019;Canceled;9.10 – 11.10;2020;–;2020;https://niconvention.info/;–;No
Connichi;Kassel;Hessen;2019;6.09 – 8.09;2019;Canceled;3.09 – 5.09;2021;–;2020, 2021;https://www.connichi.de;–;Yes
Manga-Comic-Convention;Leipzig;Sachsen;2019;21.03 – 24.03;2019;Canceled;27.05 – 30.05;2021;Yes (2021: 18.03 – 21.03 → 27.05 – 30.05);2020, 2021;https://www.manga-comic-con.de/;–;No
